2023-10-30T09:00:13+00:00 CRITICAL syntax error, unexpected end of file в C:\OpenServer\domains\shop\wp-content\themes\shop\index.php на строке 22

2023-10-30T09:00:37+00:00 CRITICAL syntax error, unexpected end of file в C:\OpenServer\domains\shop\wp-content\themes\shop\index.php на строке 22

2023-10-30T09:11:32+00:00 CRITICAL syntax error, unexpected '}' в C:\OpenServer\domains\shop\wp-content\themes\shop\functions.php на строке 4

2023-10-30T09:11:50+00:00 CRITICAL syntax error, unexpected '}' в C:\OpenServer\domains\shop\wp-content\themes\shop\functions.php на строке 4

2023-10-30T14:33:41+00:00 CRITICAL syntax error, unexpected end of file в C:\OpenServer\domains\shop\wp-content\themes\shop\functions.php на строке 20

2023-10-30T14:35:42+00:00 CRITICAL syntax error, unexpected end of file в C:\OpenServer\domains\shop\wp-content\themes\shop\functions.php на строке 20

2023-10-30T14:37:43+00:00 CRITICAL syntax error, unexpected end of file в C:\OpenServer\domains\shop\wp-content\themes\shop\functions.php на строке 20

2023-10-30T14:39:44+00:00 CRITICAL syntax error, unexpected end of file в C:\OpenServer\domains\shop\wp-content\themes\shop\functions.php на строке 20

2023-10-30T14:41:45+00:00 CRITICAL syntax error, unexpected end of file в C:\OpenServer\domains\shop\wp-content\themes\shop\functions.php на строке 20

