2023-11-03T07:14:17+00:00 CRITICAL syntax error, unexpected '++' (T_INC), expecting ')' в C:\OpenServer\domains\shop\wp-content\themes\shop\front-page.php на строке 13

2023-11-03T07:15:22+00:00 CRITICAL syntax error, unexpected '++' (T_INC), expecting ')' в C:\OpenServer\domains\shop\wp-content\themes\shop\front-page.php на строке 13

2023-11-03T07:17:40+00:00 CRITICAL syntax error, unexpected '++' (T_INC), expecting ')' в C:\OpenServer\domains\shop\wp-content\themes\shop\front-page.php на строке 13

2023-11-03T07:19:28+00:00 CRITICAL syntax error, unexpected ':', expecting ')' в C:\OpenServer\domains\shop\wp-content\themes\shop\front-page.php на строке 25

2023-11-03T07:19:34+00:00 CRITICAL syntax error, unexpected ':', expecting ')' в C:\OpenServer\domains\shop\wp-content\themes\shop\front-page.php на строке 25

2023-11-03T11:38:40+00:00 CRITICAL syntax error, unexpected ')', expecting '{' в C:\OpenServer\domains\shop\wp-content\themes\shop\incs\woocommerce-hooks.php на строке 10

2023-11-03T11:40:41+00:00 CRITICAL syntax error, unexpected ')', expecting '{' в C:\OpenServer\domains\shop\wp-content\themes\shop\incs\woocommerce-hooks.php на строке 10

2023-11-03T11:42:42+00:00 CRITICAL syntax error, unexpected 'global' (T_GLOBAL), expecting variable (T_VARIABLE) в C:\OpenServer\domains\shop\wp-content\themes\shop\incs\woocommerce-hooks.php на строке 9

2023-11-03T11:44:32+00:00 CRITICAL syntax error, unexpected 'global' (T_GLOBAL), expecting variable (T_VARIABLE) в C:\OpenServer\domains\shop\wp-content\themes\shop\incs\woocommerce-hooks.php на строке 9

2023-11-03T11:44:34+00:00 CRITICAL syntax error, unexpected 'global' (T_GLOBAL), expecting variable (T_VARIABLE) в C:\OpenServer\domains\shop\wp-content\themes\shop\incs\woocommerce-hooks.php на строке 9

2023-11-03T11:44:43+00:00 CRITICAL syntax error, unexpected 'global' (T_GLOBAL), expecting variable (T_VARIABLE) в C:\OpenServer\domains\shop\wp-content\themes\shop\incs\woocommerce-hooks.php на строке 9

2023-11-03T12:37:42+00:00 CRITICAL Allowed memory size of 1610612736 bytes exhausted (tried to allocate 20480 bytes) в C:\OpenServer\domains\shop\wp-content\plugins\woocommerce\src\Internal\Traits\AccessiblePrivateMethods.php на строке 0

